PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
7.0,9.0,6.0,11135.0,49.18,93.48,160.43,249.31,121.8,457.5,58.21,2.14,409.74,60.35,160.2,189.19,524.89,284.25,217.12,5089.7,58.321,74.9841,87.4815,0.047139,0.025528
7.0,9.0,7.0,11325.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,74.9802,0.046345,0.0251
7.0,9.0,8.0,11515.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,65.6077,0.045581,0.024685
7.0,9.0,9.0,11705.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,58.3179,0.044841,0.024285
7.0,9.0,10.0,11895.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,52.4862,0.044125,0.023897
7.0,9.0,11.0,12085.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,47.7147,0.043431,0.023521
7.0,9.0,12.0,12275.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,43.7385,0.042759,0.023157
7.0,9.0,13.0,12465.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,40.374,0.042107,0.022804
7.0,9.0,14.0,12655.0,49.18,93.45,161.18,249.31,121.8,457.11,58.6,2.14,410.49,60.74,160.2,189.55,524.86,284.25,218.1,5090.68,58.3179,74.9802,37.4901,0.041475,0.022462
7.0,10.0,5.0,11295.0,51.57,94.08,187.16,242.03,129.08,463.14,52.56,2.14,429.18,54.7,160.2,214.28,548.34,275.61,197.54,5048.51,54.8338,78.3341,109.6677,0.048547,0.024401
7.0,10.0,6.0,11485.0,51.59,94.07,190.13,241.88,129.23,463.0,52.71,2.14,432.01,54.85,160.2,216.97,550.73,275.79,197.97,5048.74,55.0734,78.6762,91.789,0.047952,0.024013
7.0,10.0,7.0,11675.0,51.59,94.06,190.87,241.86,129.25,462.82,52.88,2.14,432.73,55.02,160.2,217.5,551.07,275.81,198.32,5049.07,55.1072,78.7246,78.7246,0.047201,0.023624
7.0,10.0,8.0,11865.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,68.8791,0.046442,0.023246
7.0,10.0,9.0,12055.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,61.2259,0.04571,0.022879
7.0,10.0,10.0,12245.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,55.1033,0.045001,0.022524
7.0,10.0,11.0,12435.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,50.0939,0.044313,0.02218
7.0,10.0,12.0,12625.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,45.9194,0.043646,0.021846
7.0,10.0,13.0,12815.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,42.3872,0.042999,0.021522
7.0,10.0,14.0,13005.0,51.59,94.03,191.5,241.86,129.25,462.48,53.22,2.14,433.36,55.36,160.2,217.8,551.03,275.81,199.14,5049.89,55.1033,78.719,39.3595,0.042371,0.021208
7.0,11.0,6.0,11835.0,53.9,94.6,217.62,234.8,136.31,467.7,48.0,2.14,452.42,50.14,160.2,242.08,573.48,268.15,180.9,5010.71,52.1342,81.9252,95.5794,0.048456,0.022657
7.0,11.0,7.0,12025.0,53.92,94.59,220.24,234.66,136.45,467.61,48.1,2.14,454.9,50.24,160.2,244.47,575.63,268.3,181.18,5010.8,52.3299,82.2326,82.2326,0.047869,0.022312
7.0,11.0,8.0,12215.0,53.93,94.58,220.86,234.65,136.46,467.38,48.33,2.14,455.51,50.47,160.2,244.85,575.77,268.31,181.68,5011.29,52.3428,82.2529,71.9713,0.047136,0.021966
7.0,11.0,9.0,12405.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,63.969,0.04641,0.021629
7.0,11.0,10.0,12595.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,57.5721,0.04571,0.021303
7.0,11.0,11.0,12785.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,52.3383,0.045031,0.020986
7.0,11.0,12.0,12975.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,47.9768,0.044372,0.020679
7.0,11.0,13.0,13165.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,44.2863,0.043731,0.020381
7.0,11.0,14.0,13355.0,53.93,94.56,221.38,234.65,136.46,467.09,48.61,2.14,456.03,50.75,160.2,245.08,575.72,268.31,182.35,5011.96,52.3383,82.2459,41.123,0.043109,0.020091
7.0,12.0,6.0,12185.0,56.15,95.04,244.0,227.89,143.22,471.61,44.1,2.14,471.89,46.24,160.2,265.46,593.84,261.3,166.74,4976.18,49.4869,84.8348,98.9739,0.048736,0.021445
7.0,12.0,7.0,12375.0,56.2,95.01,248.42,227.51,143.6,471.28,44.42,2.14,475.93,46.56,160.2,269.17,596.86,261.69,167.74,4976.69,49.7383,85.2657,85.2657,0.048231,0.021147
7.0,12.0,8.0,12565.0,56.22,95.0,250.71,227.38,143.73,471.16,44.54,2.14,478.08,46.68,160.2,271.2,598.63,261.82,167.97,4976.75,49.8857,85.5183,74.8285,0.047643,0.020838
7.0,12.0,9.0,12755.0,56.22,94.99,251.23,227.38,143.73,470.95,44.75,2.14,478.6,46.89,160.2,271.52,598.74,261.82,168.51,4977.29,49.8948,85.5339,66.5264,0.046941,0.020527
7.0,12.0,10.0,12945.0,56.22,94.97,251.63,227.38,143.73,470.72,44.98,2.14,479.01,47.12,160.2,271.69,598.68,261.82,169.04,4977.82,49.8901,85.5258,59.8681,0.046248,0.020226
7.0,12.0,11.0,13135.0,56.22,94.97,251.63,227.38,143.73,470.72,44.98,2.14,479.01,47.12,160.2,271.69,598.68,261.82,169.04,4977.82,49.8901,85.5258,54.4255,0.045579,0.019933
7.0,12.0,12.0,13325.0,56.22,94.97,251.63,227.38,143.73,470.72,44.98,2.14,479.01,47.12,160.2,271.69,598.68,261.82,169.04,4977.82,49.8901,85.5258,49.8901,0.044929,0.019649
7.0,12.0,13.0,13515.0,56.22,94.97,251.63,227.38,143.73,470.72,44.98,2.14,479.01,47.12,160.2,271.69,598.68,261.82,169.04,4977.82,49.8901,85.5258,46.0524,0.044298,0.019373
7.0,12.0,14.0,13705.0,56.22,94.97,251.63,227.38,143.73,470.72,44.98,2.14,479.01,47.12,160.2,271.69,598.68,261.82,169.04,4977.82,49.8901,85.5258,42.7629,0.043683,0.019104
7.0,13.0,7.0,12725.0,58.36,95.35,274.46,220.89,150.22,474.33,41.37,2.14,495.35,43.51,160.2,291.64,615.75,255.28,156.65,4946.06,47.3651,87.9637,87.9637,0.048389,0.020061
7.0,13.0,8.0,12915.0,58.43,95.32,278.85,220.43,150.68,474.01,41.7,2.14,499.28,43.84,160.2,295.25,618.57,255.72,157.63,4946.43,47.5825,88.3675,77.3215,0.047896,0.0198
7.0,13.0,9.0,13105.0,58.44,95.32,280.65,220.32,150.79,473.9,41.8,2.14,500.98,43.94,160.2,296.84,619.96,255.81,157.76,4946.44,47.6892,88.5656,68.8844,0.047307,0.01952
7.0,13.0,10.0,13295.0,58.44,95.3,281.23,220.32,150.79,473.66,42.04,2.14,501.55,44.18,160.2,297.17,620.05,255.81,158.42,4947.11,47.696,88.5783,62.0048,0.046638,0.019241
7.0,13.0,11.0,13485.0,58.44,95.29,281.51,220.32,150.79,473.49,42.21,2.14,501.84,44.35,160.2,297.29,620.0,255.81,158.8,4947.48,47.6922,88.5712,56.3635,0.045977,0.01897
7.0,13.0,12.0,13675.0,58.44,95.29,281.51,220.32,150.79,473.49,42.21,2.14,501.84,44.35,160.2,297.29,620.0,255.81,158.8,4947.48,47.6922,88.5712,51.6665,0.045338,0.018706
7.0,13.0,13.0,13865.0,58.44,95.29,281.51,220.32,150.79,473.49,42.21,2.14,501.84,44.35,160.2,297.29,620.0,255.81,158.8,4947.48,47.6922,88.5712,47.6922,0.044717,0.01845
7.0,13.0,14.0,14055.0,58.44,95.29,281.51,220.32,150.79,473.49,42.21,2.14,501.84,44.35,160.2,297.29,620.0,255.81,158.8,4947.48,47.6922,88.5712,44.2856,0.044112,0.0182
7.0,14.0,7.0,13075.0,60.39,95.66,299.23,214.53,156.58,477.01,38.7,2.14,513.76,40.84,160.2,312.73,633.15,249.06,146.67,4917.63,45.2253,90.4506,90.4506,0.048425,0.019049
7.0,14.0,8.0,13265.0,60.48,95.64,304.12,213.95,157.16,476.77,38.94,2.14,518.06,41.08,160.2,316.79,636.39,249.62,147.44,4917.57,45.4565,90.9129,79.5488,0.047975,0.018818
7.0,14.0,9.0,13455.0,60.54,95.61,308.22,213.5,157.61,476.49,39.21,2.14,521.71,41.35,160.2,320.16,639.04,249.98,148.27,4917.85,45.6458,91.2916,71.0046,0.047495,0.018579
7.0,14.0,10.0,13645.0,60.55,95.61,309.67,213.39,157.72,476.39,39.31,2.14,523.06,41.46,160.2,321.41,640.08,250.06,148.4,4917.87,45.7202,91.4404,64.0083,0.04691,0.018326
7.0,14.0,11.0,13835.0,60.55,95.58,310.33,213.39,157.72,476.08,39.62,2.14,523.73,41.76,160.2,321.76,640.12,250.06,149.21,4918.68,45.7232,91.4464,58.1931,0.046268,0.018074
7.0,14.0,12.0,14025.0,60.55,95.58,310.51,213.39,157.72,475.98,39.73,2.14,523.9,41.87,160.2,321.84,640.09,250.06,149.44,4918.91,45.721,91.4421,53.3412,0.04564,0.017829
7.0,14.0,13.0,14215.0,60.55,95.58,310.51,213.39,157.72,475.98,39.73,2.14,523.9,41.87,160.2,321.84,640.09,250.06,149.44,4918.91,45.721,91.4421,49.2381,0.04503,0.017591
7.0,14.0,14.0,14405.0,60.55,95.58,310.51,213.39,157.72,475.98,39.73,2.14,523.9,41.87,160.2,321.84,640.09,250.06,149.44,4918.91,45.721,91.4421,45.721,0.044436,0.017359
8.0,4.0,4.0,9135.0,30.03,83.29,15.42,372.35,65.5,358.68,151.83,2.53,387.77,154.37,160.2,73.21,366.38,327.57,548.05,6749.85,91.5946,45.7973,91.5946,0.040107,0.035859
8.0,4.0,5.0,9325.0,30.03,83.29,15.42,372.35,65.5,358.68,151.83,2.53,387.77,154.37,160.2,73.21,366.38,327.57,548.05,6749.85,91.5946,45.7973,73.2757,0.03929,0.035128
8.0,4.0,6.0,9515.0,30.03,83.29,15.42,372.35,65.5,358.68,151.83,2.53,387.77,154.37,160.2,73.21,366.38,327.57,548.05,6749.85,91.5946,45.7973,61.0631,0.038505,0.034426
8.0,4.0,7.0,9705.0,30.03,83.29,15.42,372.35,65.5,358.68,151.83,2.53,387.77,154.37,160.2,73.21,366.38,327.57,548.05,6749.85,91.5946,45.7973,52.3398,0.037752,0.033752
8.0,4.0,8.0,9895.0,30.03,83.29,15.42,372.35,65.5,358.68,151.83,2.53,387.77,154.37,160.2,73.21,366.38,327.57,548.05,6749.85,91.5946,45.7973,45.7973,0.037027,0.033104
8.0,5.0,4.0,9485.0,33.17,87.74,39.55,357.6,80.26,399.47,111.04,2.3,397.14,113.34,160.2,123.6,442.81,321.53,403.02,6573.52,88.5614,55.3509,110.7017,0.046685,0.033899
8.0,5.0,5.0,9675.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,88.5919,0.045784,0.033233
8.0,5.0,6.0,9865.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,73.8266,0.044902,0.032593
8.0,5.0,7.0,10055.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,63.2799,0.044054,0.031977
8.0,5.0,8.0,10245.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,55.3699,0.043237,0.031384
8.0,5.0,9.0,10435.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,49.2177,0.042449,0.030812
8.0,5.0,10.0,10625.0,33.17,87.74,39.55,357.67,80.19,399.47,111.04,2.3,397.22,113.34,160.2,123.68,442.96,321.53,403.02,6573.52,88.5919,55.3699,44.296,0.04169,0.030261
8.0,6.0,4.0,9835.0,36.19,90.71,69.16,343.47,94.39,426.78,83.73,1.81,412.63,85.54,160.2,166.89,499.27,315.34,305.18,6445.51,83.2124,62.4093,124.8186,0.050765,0.032063
8.0,6.0,5.0,10025.0,36.19,90.69,69.49,343.55,94.31,426.58,83.93,1.81,413.04,85.74,160.2,167.11,499.39,315.34,305.61,6445.94,83.2309,62.4232,99.8771,0.049814,0.031455
8.0,6.0,6.0,10215.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,83.2336,0.048889,0.03087
8.0,6.0,7.0,10405.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,71.3431,0.047996,0.030307
8.0,6.0,8.0,10595.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,62.4252,0.047136,0.029763
8.0,6.0,9.0,10785.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,55.4891,0.046305,0.029239
8.0,6.0,10.0,10975.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,49.9402,0.045504,0.028733
8.0,6.0,11.0,11165.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,45.4001,0.044729,0.028244
8.0,6.0,12.0,11355.0,36.19,90.69,69.49,343.56,94.3,426.58,83.93,1.81,413.05,85.74,160.2,167.12,499.4,315.34,305.61,6445.94,83.2336,62.4252,41.6168,0.043981,0.027771
8.0,7.0,4.0,10185.0,39.0,92.73,100.91,330.89,106.97,445.33,65.18,1.71,431.8,66.88,160.2,204.72,543.09,308.18,239.39,6350.9,77.5838,67.8858,135.7717,0.053322,0.030258
8.0,7.0,5.0,10375.0,39.0,92.71,101.54,330.98,106.88,445.05,65.46,1.71,432.52,67.17,160.2,205.15,543.32,308.18,240.15,6351.65,77.6176,67.9154,108.6646,0.052368,0.029704
8.0,7.0,6.0,10565.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,90.5503,0.051425,0.02917
8.0,7.0,7.0,10755.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,77.6145,0.050516,0.028655
8.0,7.0,8.0,10945.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,67.9127,0.049639,0.028157
8.0,7.0,9.0,11135.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,60.3669,0.048792,0.027677
8.0,7.0,10.0,11325.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,54.3302,0.047974,0.027213
8.0,7.0,11.0,11515.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,49.3911,0.047182,0.026764
8.0,7.0,12.0,11705.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,45.2751,0.046416,0.026329
8.0,7.0,13.0,11895.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,41.7924,0.045675,0.025909
8.0,7.0,14.0,12085.0,39.0,92.7,101.75,330.99,106.87,444.92,65.59,1.71,432.74,67.29,160.2,205.25,543.3,308.18,240.43,6351.93,77.6145,67.9127,38.8073,0.044957,0.025501
8.0,8.0,4.0,10535.0,41.52,93.91,132.67,320.8,117.06,456.2,54.31,1.71,453.47,56.01,160.2,237.26,576.41,299.59,201.38,6286.83,72.0508,72.0508,144.1016,0.054713,0.028437
8.0,8.0,5.0,10725.0,41.53,93.91,133.84,320.86,117.0,456.13,54.37,1.71,454.7,56.08,160.2,238.42,577.55,299.63,201.47,6286.88,72.1944,72.1944,115.511,0.053851,0.027937
8.0,8.0,6.0,10915.0,41.53,93.88,134.55,320.87,116.99,455.78,54.73,1.71,455.42,56.43,160.2,238.79,577.58,299.63,202.37,6287.78,72.198,72.198,96.264,0.052917,0.027451
8.0,8.0,7.0,11105.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,82.5095,0.05201,0.026981
8.0,8.0,8.0,11295.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,72.1958,0.051135,0.026527
8.0,8.0,9.0,11485.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,64.1741,0.050289,0.026089
8.0,8.0,10.0,11675.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,57.7567,0.04947,0.025664
8.0,8.0,11.0,11865.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,52.5061,0.048678,0.025253
8.0,8.0,12.0,12055.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,48.1305,0.047911,0.024855
8.0,8.0,13.0,12245.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,44.4282,0.047168,0.024469
8.0,8.0,14.0,12435.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,41.2548,0.046447,0.024095
8.0,8.0,15.0,12625.0,41.53,93.88,134.66,320.87,116.99,455.72,54.79,1.71,455.52,56.49,160.2,238.83,577.57,299.63,202.51,6287.92,72.1958,72.1958,38.5044,0.045748,0.023733
8.0,9.0,5.0,11075.0,43.86,94.59,165.96,312.51,125.35,462.31,48.2,1.71,478.47,49.91,160.2,268.36,605.31,290.91,179.6,6240.89,67.2568,75.6639,121.0622,0.054656,0.026268
8.0,9.0,6.0,11265.0,43.86,94.58,166.84,312.5,125.36,462.22,48.29,1.71,479.33,50.0,160.2,269.14,606.0,290.93,179.74,6241.02,67.3332,75.7499,100.9999,0.053795,0.025826
8.0,9.0,7.0,11455.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,86.5675,0.0529,0.025398
8.0,9.0,8.0,11645.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,75.7466,0.052037,0.024983
8.0,9.0,9.0,11835.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,67.3303,0.051202,0.024582
8.0,9.0,10.0,12025.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,60.5973,0.050393,0.024194
8.0,9.0,11.0,12215.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,55.0884,0.049609,0.023818
8.0,9.0,12.0,12405.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,50.4977,0.048849,0.023453
8.0,9.0,13.0,12595.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,46.6133,0.048112,0.023099
8.0,9.0,14.0,12785.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,43.2838,0.047397,0.022756
8.0,9.0,15.0,12975.0,43.86,94.55,167.6,312.5,125.36,461.83,48.68,1.71,480.09,50.39,160.2,269.51,605.97,290.93,180.73,6242.0,67.3303,75.7466,40.3982,0.046703,0.022422
8.0,10.0,5.0,11425.0,46.08,95.16,195.25,304.91,132.95,467.36,43.14,1.71,500.16,44.85,160.2,295.12,629.53,282.83,161.25,6199.61,62.9533,78.6916,125.9066,0.055101,0.024755
8.0,10.0,6.0,11615.0,46.1,95.14,198.38,304.72,133.14,467.21,43.3,1.71,503.1,45.0,160.2,297.9,631.97,283.07,161.71,6199.82,63.1967,78.9959,105.3279,0.05441,0.024371
8.0,10.0,7.0,11805.0,46.1,95.14,199.1,304.7,133.16,467.07,43.44,1.71,503.8,45.14,160.2,298.46,632.38,283.08,161.99,6200.09,63.2377,79.0471,90.3395,0.053569,0.02398
8.0,10.0,8.0,11995.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,79.0423,0.052717,0.0236
8.0,10.0,9.0,12185.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,70.2598,0.051895,0.023232
8.0,10.0,10.0,12375.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,63.2338,0.051098,0.022875
8.0,10.0,11.0,12565.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,57.4853,0.050325,0.022529
8.0,10.0,12.0,12755.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,52.6949,0.049576,0.022194
8.0,10.0,13.0,12945.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,48.6414,0.048848,0.021868
8.0,10.0,14.0,13135.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,45.167,0.048141,0.021552
8.0,10.0,15.0,13325.0,46.1,95.11,199.74,304.7,133.16,466.73,43.78,1.71,504.44,45.48,160.2,298.76,632.34,283.08,162.83,6200.92,63.2338,79.0423,42.1559,0.047455,0.021244
8.0,11.0,6.0,11965.0,48.22,95.58,227.43,297.55,140.31,471.11,39.4,1.71,524.98,41.11,160.2,323.68,654.48,275.59,147.53,6163.71,59.4981,81.81,109.0799,0.0547,0.023033
8.0,11.0,7.0,12155.0,48.24,95.57,230.14,297.4,140.46,471.01,39.5,1.71,527.54,41.21,160.2,326.13,656.67,275.74,147.84,6163.83,59.6975,82.0841,93.8104,0.054025,0.022686
8.0,11.0,8.0,12345.0,48.24,95.56,230.73,297.39,140.47,470.81,39.69,1.71,528.12,41.4,160.2,326.53,656.87,275.75,148.28,6164.26,59.7156,82.1089,82.1089,0.05321,0.022337
8.0,11.0,9.0,12535.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,72.9804,0.052399,0.021998
8.0,11.0,10.0,12725.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,65.6823,0.051617,0.02167
8.0,11.0,11.0,12915.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,59.7112,0.050857,0.021351
8.0,11.0,12.0,13105.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,54.7353,0.05012,0.021042
8.0,11.0,13.0,13295.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,50.5249,0.049404,0.020741
8.0,11.0,14.0,13485.0,48.24,95.54,231.26,297.39,140.47,470.53,39.98,1.71,528.65,41.69,160.2,326.77,656.82,275.75,148.97,6164.95,59.7112,82.1029,46.916,0.048708,0.020449
