PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
4.0,6.0,6.0,9695.0,64.5,83.13,55.13,96.84,77.87,389.95,153.72,8.62,151.97,162.33,160.2,-170.56,141.51,276.11,579.58,1964.74,23.5856,35.3784,23.5856,0.014597,0.02848
4.0,6.0,7.0,9885.0,64.5,83.13,55.13,96.84,77.87,389.95,153.72,8.62,151.97,162.33,160.2,-170.56,141.51,276.11,579.58,1964.74,23.5856,35.3784,20.2162,0.014316,0.027932
4.0,6.0,8.0,10075.0,64.5,83.13,55.13,96.84,77.87,389.95,153.72,8.62,151.97,162.33,160.2,-170.56,141.51,276.11,579.58,1964.74,23.5856,35.3784,17.6892,0.014046,0.027406
4.0,7.0,4.0,9665.0,68.62,84.67,79.42,87.82,86.89,404.58,139.09,9.12,167.24,148.2,160.2,-141.16,176.53,264.94,532.37,1895.9,25.2181,44.1316,44.1316,0.018265,0.027413
4.0,7.0,5.0,9855.0,68.62,84.64,80.08,87.82,86.89,404.27,139.4,9.11,167.9,148.51,160.2,-140.8,176.58,264.94,533.17,1896.71,25.225,44.1438,35.315,0.017917,0.026884
4.0,7.0,6.0,10045.0,68.62,84.63,80.26,87.82,86.89,404.17,139.5,9.11,168.08,148.61,160.2,-140.73,176.55,264.94,533.4,1896.94,25.2212,44.137,29.4247,0.017576,0.026376
4.0,7.0,7.0,10235.0,68.62,84.63,80.26,87.82,86.89,404.17,139.5,9.11,168.08,148.61,160.2,-140.73,176.55,264.94,533.4,1896.94,25.2212,44.137,25.2212,0.017249,0.025886
4.0,7.0,8.0,10425.0,68.62,84.63,80.26,87.82,86.89,404.17,139.5,9.11,168.08,148.61,160.2,-140.73,176.55,264.94,533.4,1896.94,25.2212,44.137,22.0685,0.016935,0.025414
4.0,8.0,4.0,10015.0,72.31,85.68,103.0,79.9,94.82,414.35,129.32,9.2,182.9,138.52,160.2,-115.82,203.71,253.67,500.08,1844.45,25.4637,50.9273,50.9273,0.02034,0.025329
4.0,8.0,5.0,10205.0,72.33,85.67,104.13,79.81,94.91,414.14,129.53,9.2,183.94,138.73,160.2,-114.99,204.24,253.8,500.35,1844.62,25.5298,51.0596,40.8477,0.020014,0.02487
4.0,8.0,6.0,10395.0,72.33,85.64,104.88,79.81,94.91,413.76,129.9,9.19,184.68,139.1,160.2,-114.61,204.24,253.8,501.3,1845.57,25.53,51.0599,34.04,0.019648,0.024416
4.0,8.0,7.0,10585.0,72.33,85.64,104.94,79.81,94.91,413.73,129.94,9.19,184.75,139.13,160.2,-114.59,204.23,253.8,501.38,1845.65,25.5286,51.0572,29.1756,0.019294,0.023977
4.0,8.0,8.0,10775.0,72.33,85.64,104.94,79.81,94.91,413.73,129.94,9.19,184.75,139.13,160.2,-114.59,204.23,253.8,501.38,1845.65,25.5286,51.0572,25.5286,0.018954,0.023555
5.0,3.0,3.0,8205.0,40.7,72.79,2.1,193.65,45.59,280.88,250.38,3.8,195.75,254.17,160.2,-218.62,16.67,315.6,891.83,3546.65,5.5561,3.3337,5.5561,0.002031,0.038464
5.0,3.0,4.0,8395.0,40.7,72.79,2.1,193.65,45.59,280.88,250.38,3.8,195.75,254.17,160.2,-218.62,16.67,315.6,891.83,3546.65,5.5561,3.3337,4.1671,0.001986,0.037594
5.0,3.0,5.0,8585.0,40.7,72.79,2.1,193.65,45.59,280.88,250.38,3.8,195.75,254.17,160.2,-218.62,16.67,315.6,891.83,3546.65,5.5561,3.3337,3.3337,0.001942,0.036762
5.0,3.0,6.0,8775.0,40.7,72.79,2.1,193.65,45.59,280.88,250.38,3.8,195.75,254.17,160.2,-218.62,16.67,315.6,891.83,3546.65,5.5561,3.3337,2.7781,0.0019,0.035966
5.0,4.0,3.0,8555.0,45.49,79.48,11.83,179.62,59.62,343.63,187.62,4.44,191.45,192.06,160.2,-160.81,123.21,308.67,679.27,3303.8,30.8019,24.6415,41.0692,0.014402,0.036081
5.0,4.0,4.0,8745.0,45.49,79.48,11.83,179.62,59.61,343.63,187.62,4.44,191.45,192.06,160.2,-160.8,123.22,308.67,679.27,3303.8,30.8047,24.6438,30.8047,0.01409,0.035297
5.0,4.0,5.0,8935.0,45.49,79.48,11.83,179.62,59.61,343.63,187.62,4.44,191.45,192.06,160.2,-160.8,123.22,308.67,679.27,3303.8,30.8047,24.6438,24.6438,0.013791,0.034546
5.0,4.0,6.0,9125.0,45.49,79.48,11.83,179.62,59.61,343.63,187.62,4.44,191.45,192.06,160.2,-160.8,123.22,308.67,679.27,3303.8,30.8047,24.6438,20.5365,0.013503,0.033827
5.0,4.0,7.0,9315.0,45.49,79.48,11.83,179.62,59.61,343.63,187.62,4.44,191.45,192.06,160.2,-160.8,123.22,308.67,679.27,3303.8,30.8047,24.6438,17.6027,0.013228,0.033137
5.0,4.0,8.0,9505.0,45.49,79.48,11.83,179.62,59.61,343.63,187.62,4.44,191.45,192.06,160.2,-160.8,123.22,308.67,679.27,3303.8,30.8047,24.6438,15.4024,0.012964,0.032475
5.0,5.0,3.0,8905.0,50.06,83.65,33.69,166.35,72.88,382.33,148.92,5.24,200.04,154.16,160.2,-114.31,195.14,301.84,547.97,3143.64,39.0282,39.0282,65.0469,0.021914,0.033895
5.0,5.0,4.0,9095.0,50.06,83.64,34.11,166.35,72.88,382.1,149.16,5.23,200.47,154.39,160.2,-114.12,195.1,301.84,548.52,3144.19,39.0195,39.0195,48.7744,0.021451,0.033187
