PV,Battery,Inverter,PV_to_Battery,Battery_to_Inverter,PV_to_Inverter
15,11,8,1.36,1.38,1.88
15,11,9,1.36,1.22,1.67
15,11,10,1.36,1.1,1.5
15,11,11,1.36,1.0,1.36
15,11,12,1.36,0.92,1.25
15,11,13,1.36,0.85,1.15
15,11,14,1.36,0.79,1.07
15,11,15,1.36,0.73,1.0
15,12,8,1.25,1.5,1.88
15,12,9,1.25,1.33,1.67
15,12,10,1.25,1.2,1.5
15,12,11,1.25,1.09,1.36
15,12,12,1.25,1.0,1.25
15,12,13,1.25,0.92,1.15
15,12,14,1.25,0.86,1.07
15,12,15,1.25,0.8,1.0
15,13,8,1.15,1.62,1.88
15,13,9,1.15,1.44,1.67
15,13,10,1.15,1.3,1.5
15,13,11,1.15,1.18,1.36
15,13,12,1.15,1.08,1.25
15,13,13,1.15,1.0,1.15
15,13,14,1.15,0.93,1.07
15,13,15,1.15,0.87,1.0
15,14,8,1.07,1.75,1.88
15,14,9,1.07,1.56,1.67
15,14,10,1.07,1.4,1.5
15,14,11,1.07,1.27,1.36
15,14,12,1.07,1.17,1.25
15,14,13,1.07,1.08,1.15
15,14,14,1.07,1.0,1.07
15,14,15,1.07,0.93,1.0
15,15,8,1.0,1.88,1.88
15,15,9,1.0,1.67,1.67
15,15,10,1.0,1.5,1.5
15,15,11,1.0,1.36,1.36
15,15,12,1.0,1.25,1.25
15,15,13,1.0,1.15,1.15
15,15,14,1.0,1.07,1.07
15,15,15,1.0,1.0,1.0
